Rooms,Bedroom2,Bathroom,Car,BuildingArea,Distance,Price,Type,cluster
5,5,4,2,285.0,5.4,3175000,0,0
4,4,2,2,236.0,17.9,865000,0,2
3,3,2,2,146.0,3.5,1388000,1,2
3,3,2,1,127.0,20.6,430000,0,2
4,4,2,2,190.0,23.5,936000,0,2
4,4,2,2,165.0,6.7,1400000,0,2
3,3,2,2,222.0,10.7,1300000,1,2
5,5,2,2,297.0,9.0,2900000,0,0
3,3,1,0,98.0,9.2,655000,0,2
2,2,1,1,100.0,8.0,1130000,0,1
1,1,1,1,52.0,1.6,465000,2,1
4,4,3,2,131.0,13.0,607000,1,2
3,3,1,1,115.0,12.1,740000,0,2
3,3,1,2,106.0,12.1,646000,0,2
3,3,1,2,99.0,9.4,722000,0,2
3,3,2,2,154.0,12.8,680000,1,2
4,4,1,1,120.0,6.9,1225000,0,2
2,2,1,2,109.0,5.5,1634000,0,1
2,2,1,0,102.0,2.6,1265000,0,1
3,3,1,2,100.0,11.2,475000,2,2
4,4,1,0,124.0,2.6,905000,0,2
2,2,1,1,61.0,3.3,480000,2,1
3,3,2,2,149.0,6.5,1160000,0,2
3,3,1,0,135.0,4.6,1435000,0,2
4,4,4,5,332.0,4.6,5500000,0,0
4,4,2,2,338.0,12.4,1010000,0,0
3,3,2,3,94.0,8.2,875000,0,2
3,3,2,2,230.0,14.8,535000,0,2
4,4,2,2,236.0,20.6,665000,0,2
2,2,1,1,70.0,3.4,535000,2,1
1,1,1,1,46.0,5.1,240000,2,1
3,3,2,1,188.0,5.3,2370000,0,2
3,3,1,2,133.0,7.0,1250000,0,2
3,3,1,2,131.0,25.0,775000,0,2
3,3,1,2,115.0,5.4,1510000,0,2
3,3,2,2,164.0,4.3,825000,2,2
3,3,3,2,192.0,13.5,810000,0,2
4,4,2,2,215.0,9.2,1900000,0,0
3,3,2,3,175.0,9.2,2100000,0,2
3,3,2,1,119.0,13.9,921000,0,2
5,5,2,0,238.0,10.7,1915000,0,0
4,4,1,2,180.0,11.8,1300000,0,2
3,3,2,2,120.0,9.2,715000,0,2
1,1,1,1,37.0,7.7,347000,2,1
2,2,2,1,87.0,5.6,890000,2,1
2,2,1,1,90.0,5.6,2875000,0,1
3,3,2,2,126.0,11.2,1915000,0,2
3,3,1,4,176.0,8.7,820000,0,2
4,4,3,4,159.0,14.6,1000000,0,0
1,1,1,1,39.0,5.5,312000,2,1
3,3,1,4,120.0,9.9,770000,0,2
2,2,1,1,94.0,9.9,810000,0,1
2,2,2,1,104.0,4.5,1540000,1,1
2,2,2,1,69.0,8.8,425000,2,1
2,2,1,1,85.0,2.6,930000,1,1
2,2,2,1,85.0,2.6,691000,2,1
4,4,2,2,150.0,6.5,928500,0,2
5,5,2,0,225.0,5.5,1750000,0,0
3,3,1,2,119.0,7.0,990000,0,2
2,2,1,1,86.0,4.2,500000,2,1
3,3,2,2,146.0,18.4,526000,0,2
3,3,2,2,152.0,15.3,740000,0,2
3,3,2,1,88.0,11.0,670000,2,2
3,3,1,1,130.0,16.7,1462000,0,2
2,2,1,1,58.0,4.6,957500,0,1
5,5,3,3,210.0,8.9,1170000,0,0
3,3,1,1,111.0,11.0,1415000,0,2
4,4,2,2,177.0,13.9,1415000,0,2
4,4,2,4,233.0,10.7,2050000,0,0
1,1,1,1,57.0,10.7,340000,2,1
3,3,1,0,96.0,5.2,950000,0,1
2,2,1,1,90.0,5.2,845500,0,1
2,2,2,1,170.0,11.4,930000,1,2
4,4,2,1,165.0,3.5,1785000,0,2
1,1,1,1,50.0,6.4,216000,2,1
2,2,1,1,63.0,9.2,550000,2,1
2,2,2,1,112.0,9.2,600000,1,1
4,4,3,2,248.0,7.4,3470000,0,0
4,4,1,2,147.0,8.8,875000,0,2
3,3,1,3,118.0,2.6,1695000,0,2
3,3,2,1,149.0,6.6,920000,0,2
2,2,1,0,80.0,6.5,505000,2,1
5,5,3,2,233.0,13.8,1025000,0,0
4,4,1,1,120.0,12.4,610000,0,2
2,2,1,1,59.0,12.2,822000,2,1
5,5,3,2,291.0,7.5,2200000,0,0
3,3,2,1,109.0,36.9,611000,0,2
5,5,5,4,490.0,14.8,1150000,0,0
3,3,2,2,120.0,4.3,1082000,0,2
6,6,2,4,113.0,10.5,750000,0,0
3,3,2,1,121.8,4.0,937000,1,2
3,3,2,2,144.0,12.3,875000,0,2
3,3,1,1,114.0,15.4,1011000,0,2
2,2,1,2,90.0,5.4,591000,2,1
3,3,1,2,102.0,41.0,447000,2,2
3,3,2,2,165.0,6.3,1918000,1,2
3,3,1,2,112.0,11.0,1337000,0,2
2,2,1,1,59.0,4.2,425000,2,1
4,4,2,2,309.0,7.4,3460000,0,0
3,3,1,1,114.0,14.6,890000,0,2
